CODE,DESCRIPTION,UNIT,QUANTITY,CATEGORY
F10000616,ΑΛΛΑΝΤΙΚΟ ΒΟΥΒΑΛΙΣΙΟ ΨΗΤΟ PERFETTO GUSTO SARY,Kilogram,4.911 ,F100 COLD CUTS
F10000309,ΑΛΛΑΝΤΙΚΟ ΧΟΙΡΙΝΟ ΨΑΡΟΝΕΦΡΙ ΡΙΓΑΝΑΤΟ SARY,Kilogram,2.194 ,F100 COLD CUTS
F1000216,ΓΑΛΟΠΟΥΛΑ ΒΡΑΣΤΗ ΦΙΛΕΤΟ ΑΝΑΓΛΥΦΟ ΧΩΡΙΣ ΓΛΟΥΤΕΝΗ 0-2% ΜΠΑΣΤΟΥΝΙ SARY,Kilogram,16.526 ,F100 COLD CUTS
F10000615,ΓΑΛΟΠΟΥΛΑ ΣΤΗΘΟΣ ΨΗΤΟ ΙΡΙΔΑ SARY (22.8KG),Kilogram,3.880 ,F100 COLD CUTS
F1000003,ΖΑΜΠΟΝ ΜΠΟΥΤΙ ΚΑΠΝΙΣΤΟ ΟΒΑΛ FUEGO ΝΙΚΑΣ,Kilogram,12.770 ,F100 COLD CUTS
F10000420,ΖΑΜΠΟΝ ΠΙΚ ΝΙΚ 10*10 ΦΕΤΕΣ REN ΝΙΚΑΣ (800G),Kilogram,14.400 ,F100 COLD CUTS
F1000130,ΛΟΥΚΑΝΙΚΑ BRATWURST ΥΦΑΝΤΗΣ,Kilogram,18.740 ,F100 COLD CUTS
F10000473,ΛΟΥΚΑΝΙΚΑ CHORIZO ΠΙΚΑΝΤΙΚΟ ΠΕΤΑΛΟ  MARTINEZ SOMALO (225G),Kilogram,0.920 ,F100 COLD CUTS
F10000502,"ΛΟΥΚΑΝΙΚΑ ΚΟΚΤΕΪΛ ""ΣΥΝΤΑΓΕΣ"" ΠΑΝ. ΝΙΚΑΣ (700G)",Kilogram,14.877 ,F100 COLD CUTS
F10000846,ΛΟΥΚΑΝΙΚΑ ΚΟΤΟΠΟΥΛΟ ΑΙΑ,Kilogram,14.000 ,F100 COLD CUTS
F10000830,ΛΟΥΚΑΝΙΚΑ ΤΑΒΕΡΝΑΣ ΘΡΑΚΗΣ ΓΕΥΣΕΙΣ ΥΦΑΝΤΗΣ,Kilogram,31.500 ,F100 COLD CUTS
F10000613,ΜΟΡΤΑΔΕΛΑ ΔΡΑΜΑΣ ΜΠΑΣΤΟΥΝΙ SARY,Kilogram,4.404 ,F100 COLD CUTS
F10000429,ΜΠΕΪΚΟΝ ΚΑΠΝΙΣΤΟ ΠΛΑΚΑ ΣΕ ΦΕΤΕΣ ΘΡΑΚΗΣ ΓΕΥΣΕΙΣ IFANTIS,Kilogram,27.310 ,F100 COLD CUTS
F10000302,ΠΑΝΣΕΤΑ ΚΑΠΝΙΣΤΗ ΧΟΙΡΙΝΗ ΣΕ ΦΕΤΕΣ ΠΑΝΤΕΡΗ,Kilogram,5.690 ,F100 COLD CUTS
F10000626,ΠΑΣΤΡΑΜΙ ΓΑΛΟΠΟΥΛΑΣ ΨΗΤΟ ΑΚΟΠΟ LEGRAND SARY,Kilogram,4.162 ,F100 COLD CUTS
F1000262,ΠΡΟΣΙΟΥΤΟ COTTO 1/2 GRAND GOURMET VILLANI,Kilogram,4.290 ,F100 COLD CUTS
F10000794,ΠΡΟΣΙΟΥΤΟ MATTONELLΑ SIMONINI,Kilogram,12.696 ,F100 COLD CUTS
F1000034,ΣΑΛΑΜΙ ΑΕΡΟΣ ΘΑΣΟΥ ΜΠΑΣΤΟΥΝΙ ΥΦΑΝΤΗΣ,Kilogram,6.320 ,F100 COLD CUTS
F1000200,ΣΑΛΑΜΙ ΑΕΡΟΣ ΩΡΑΙΑ ΔΡΑΜΑ ΜΠΑΣΤΟΥΝΙ ΡΟΛΟ (SARY),Kilogram,3.356 ,F100 COLD CUTS
F1000210,ΣΑΡNTΙΝΕΛΛΑ ΜΠΑΣΤΟΥΝΙ ΡΟΛΟ LEGRAND SARY,Kilogram,4.624 ,F100 COLD CUTS
F10000627,ΧΑΜΟΝ IBERICO ΜΠΟΥΤΙ BELLOTA ΧΟΙΡΟΥ ΣΕ ΦΕΤΕΣ (100G),Piece,2.000 ,F100 COLD CUTS
F10100754,ΤΥΡΙ BRIE ΓΑΛΛΙΑΣ PRESIDENT (3KG),Kilogram,6.320 ,F101 CHEESE
F1010066,ΤΥΡΙ COMTE ΓΑΛΛΙΑΣ 12ΜΗΝΩΝ ΩΡΙΜΑΝΣΗΣ,Kilogram,4.905 ,F101 CHEESE
F1010091,ΤΥΡΙ COTTAGE ROYAL (200G),CUP,44.000 ,F101 CHEESE
F10100750,ΤΥΡΙ EMMENTAL 45% ΦΡΑΤΖΟΛΑ ROYAL (3KG),Kilogram,3.090 ,F101 CHEESE
F10101127,ΤΥΡΙ EMMENTAL ΓΕΡΜΑΝΙΑΣ ΣΕ ΦΕΤΕΣ ADORO,Kilogram,2.000 ,F101 CHEESE
