Κωδικός,Περιγραφή,Μονάδα,Χρέωση,Καταμέτρηση
F10200713,ΓΑΛΑ ΑΓΕΛΑΔΟΣ ΦΡΕΣΚΟ ΕΛΑΦΡΥ 1.5% ΜΕΒΓΑΛ (1L),Bottles,5.000 ,
F1020043,ΓΑΛΑ ΑΓΕΛΑΔΟΣ ΦΡΕΣΚΟ ΠΛΗΡΕΣ 3.5% ΜΕΒΓΑΛ (1L),Liter,12.000 ,
F1020217,ΚΡΕΜΑ ΚΑΡΥΔΑΣ COCO LOPEZ (425G),CAN,11.000 ,
F10200483,ΡΟΦΗΜΑ ΑΜΥΓΔΑΛΟΥ IN STEAD (1L),Carton,5.800 ,
F1020050,ΡΟΦΗΜΑ ΑΜΥΓΔΑΛΟΥ ΧΩΡΙΣ ΖΑΧΑΡΗ ALPRO (1L),Carton,2.000 ,
F10200481,ΡΟΦΗΜΑ ΒΡΩΜΗΣ IN STEAD (1L),Carton,11.200 ,
F10200484,ΡΟΦΗΜΑ ΚΑΡΥΔΑΣ IN STEAD (1L),Carton,9.400 ,
F10200414,ΡΟΦΗΜΑ ΣΟΓΙΑΣ ALPRO (1L),Carton,1.800 ,
F10200766,ΣΑΝΤΙΓΥ ΣΠΡΕΥ ROYAL (250G),CAN,24.000 ,
F11400661,ΠΕΡΛΑ ΕΛΑΙΟΛΑΔΟΥ ΜΕ ΤΣΙΛΙ 5MM CAVIAROLI (50G),Jar,2.000 ,
F1110047,ΦΥΣΤΙΚΟΒΟΥΤΥΡΟ ΔΟΧΕΙΟ ΧΑΙΤΟΓΛΟΥ (10KG),Kilogram,0.500 ,
F11400615,EΛΙΑ ΠΡΑΣΙΝΗ ΣΦΑΙΡΑ CAVIAROLI (4Χ250G),Piece,1.000 ,
F1100017,TABASCO SAUCE RED PEPPER (60ML),Bottles,11.000 ,
F1100517,ΚΕΤΣΑΠ HEINZ ΒΑΖΟ (39G),Jar,80.000 ,
F1100557,ΜΑΓΙΟΝΕΖΑ HEINZ ΒΑΖΟ (30G),Jar,80.000 ,
F11400662,ΠΕΡΛΕΣ ΑΠΟ ΜΑΝΓΚΟ 5MM CAVIAROLI (200G),Jar,3.000 ,
F11400660,ΠΕΡΛΕΣ ΑΠΟ ΜΕΛΙ ΔΑΣΟΥΣ 8MM CAVIAROLI (50G),Jar,4.000 ,
F1100056,ΣΑΛΤΣΑ HORSERADISH GUNDELSHEIM (140G),Jar,3.000 ,
F1100043,ΞΥΔΙ ΑΝΑΠΛΗΡΩΜΑ ΚΥΒΟΣ (30*400ML),Bottles,3.000 ,
F1120013,ΔΗΜΗΤΡΙΑΚΑ ΝΙΦΑΔΕΣ ΒΡΩΜΗΣ LE PETIT DEJEUNER (1KG),Packet,0.200 ,
F1120066,ΤΣΙΑ ΣΠΟΡΟΙ (CHIA) DRYFO,Kilogram,1.000 ,
F1130065,PEANUTS DRY ROASTED PELITO,Kilogram,8.000 ,
F11300548,ΑΜΥΓΔΑΛΟ ΚΑΠΝΙΣΤΟ PELLITO,Kilogram,3.000 ,
F1130023,ΚΑΣΙΟΥΣ ΨΗΜΕΝΑ ΙΝΔΙΩΝ DRYFO,Kilogram,1.000 ,
F11300633,ΜΕΙΓΜΑ ΞΗΡΩΝ ΚΑΡΠΩΝ FIRE MIX RAVIOLI DRYFO (12*1KG),Packet,3.000 ,
F11400571,ΕΛΙΕΣ ΠΡΑΣΙΝΕΣ ΓΕΜΙΣΤΕΣ ΜΕ ΠΙΠΕΡΙΑ PAPASTERGIOU,Kilogram,2.200 ,
F1150010,ΚΟΜΠΟΣΤΑ LYCHEE CARDINAL (565G),CAN,10.000 ,
F11600289,ΜΕΛΙ ΑΝΘΕΩΝ ΒΑΖΟ ΙΒΗΡΩΝ (90*30G),Jar,15.000 ,
F1160030,ΜΕΛΙ ΑΝΘΕΩΝ ΧΑΛΚΙΔΙΚΗΣ ΓΕΩΡΓΑΚΑ (4.4KG),Container,1.000 ,
